cluster	csop
141	1
159	1
166	1
171	1
209	1
222	1
234	1
269	1
293	1
361	1
368	1
374	1
435	1
476	1
592	1
635	1
636	1
637	1
762	1
773	1
815	1
843	1
915	1
1557	1
1597	1
1644	1
1678	1
2329	1
2972	1
3228	1
3398	1
3461	1
3602	1
3807	1
4166	1
4272	1
4470	1
4584	1
4935	1
5116	1
6034	1
6796	1
8845	1
9065	1
10706	1
12110	1
12180	1
14891	1
15362	1
20021	1
22764	1
23348	1
27838	1
41483	1
35	2
247	2
754	2
807	2
815	2
834	2
841	2
915	2
921	2
934	2
1236	2
1543	2
1561	2
1581	2
1665	2
1735	2
1804	2
2105	2
2119	2
2215	2
2228	2
2277	2
2297	2
2603	2
3689	2
4346	2
4903	2
5547	2
5953	2
9411	2
12306	2
13227	2
16090	2
17934	2
18240	2
19805	2
20650	2
24398	2
24457	2
46055	2
9	3
37	3
47	3
49	3
52	3
53	3
62	3
84	3
116	3
132	3
141	3
277	3
317	3
359	3
360	3
385	3
484	3
493	3
557	3
592	3
620	3
668	3
757	3
828	3
1037	3
1214	3
1283	3
1639	3
1723	3
1726	3
1854	3
2047	3
2215	3
2379	3
2406	3
2607	3
2830	3
3665	3
5012	3
5249	3
5547	3
5950	3
6820	3
7099	3
9439	3
9575	3
10965	3
11723	3
11811	3
13039	3
13189	3
13360	3
13909	3
14330	3
14997	3
15082	3
15917	3
15940	3
16215	3
16216	3
16331	3
18371	3
20084	3
20283	3
20353	3
21158	3
21194	3
23306	3
23461	3
23593	3
24574	3
25207	3
25812	3
26831	3
30257	3
43642	3
46283	3
