Species_Name	Species_Short_Name
Allomyces macrogynus	Allma1
Aspergillus fumigatus	Aspfu1
Auricularia delicata	Aurde31
Batrachochytrium dendrobatidis	Batde5
Botryobasidium botryosum	Botbo1
Botrytis cinerea	Botci1
Caenorhabditis elegans	Caeel
Candida albicans	Canalb1
Candida glabrata	Cangl
Capsaspora owczarzaki	Capow
Catenaria anguillulae	Catan2
Ciona intestinalis	Cioin
Cochliobolus heterostrophus	CocheC53
Coemansia reversa	Coere1
Conidiobolus coronatus	Conco1
Coniophora puteana	Conpu1
Coprinopsis cinerea	Copci
Cronartium quercuum	Croqu1
Cryphonectria parasitica	Crypa2
Cryptococcus neoformans	CryneH991
Debaryomyces hanseni	Debha1
Dekkera bruxellensis	Dekbr2
Dictyostelium discoideum	Dicdi
Drosophila melanogaster	Dmel
Entamoeba histolytica	Enthi
Eremothecium gossypii	Ashgo11
Fomitiporia mediterranea	Fomme1
Fusarium graminearum	Fusgr1
Galerina marginata v1.0	Galma1
Glomus intraradices	Gloin1
Gonapodya prolifera	Ganpr1
Histoplasma capsulatum	Hisca1
Hydra magnipapillata	Hydma
Kluyveromyces lactis	Klula1
Laccaria bicolor	Lacbi2
Lentinus tigrinus	Lenti61
Malassezia globosa	Malgl1
Melampsora laricis-populina	Mellp23
Mnemiopsis leidyi	Mnele
Monosiga brevicollis	Monbr
Mortierella elongata	Morel2
Mucor circinelloides	Mucci2
Neurospora crassa	Neucr2
Orpinomyces sp	Orpsp1
Penicillium chrysogenum	Pench1
Phycomyces blakesleeanus	Phybl2
Pichia stipitis	Picst3
Plicaturopsis crispa	Plicr1
Polysphondylium pallidum	Polpo
Puccinia graminis	Pucgr2
Punctularia strigosozonata	Punst1
Rhizopus oryzae	Rhior3
Rhodosporidium toruloides	Rhoto1
Rozella allomycis	Rozal11
Saccharomyces cerevisiae	Sacce1
Salpingloea rosetta	Salro
Schizophyllum commune	Schco3
Schizosaccharomyces pombe	Schpo1
Sordaria macrospora	Sorma
Sphaeroforma arctica	Sphar
Spizellomyces punctatus	Spipu1
Sporobolomyces roseus	Sporo1
Stereum hirsutum	Stehi1
Taphrina deformans	Tapde11
Thecamonas trahens	Thetr
Tremella mesenterica	Treme1
Trichoderma reesei	Trire2
Umbelopsis ramanniana	Umbra1
Ustilago maydis	Ustma22
Wallemia sebi	Walse1
Zygosaccharomyces rouxii	Zygro1
